2008-10-29,475.129,1088.915,3057.932,1912.241,66.932,1532.97,3136.45,2883.913,854.262,878.919,1664.333,429.3,462.971,218.371,230.931,209.657,432.446,259.993,689.213,153.329,3065.307,153.476,110.288,143.469,247.983,1125.977,374.014,510.235,465.665,185.437,1939.345
2008-10-30,494.954,1138.255,3197.336,2080.238,67.862,1636.938,3282.632,2854.819,862.981,902.099,1790.001,452.604,460.626,218.371,248.582,219.893,528.479,273.207,694.602,196.852,3248.674,163.667,119.066,155.148,258.245,1126.354,391.763,534.848,467.886,189.326,2112.736
2008-10-31,488.458,1130.822,3237.941,1975.954,69.238,1700.313,3206.906,2935.272,874.024,916.078,1794.102,467.373,453.711,238.648,262.145,222.055,528.039,288.917,714.066,194.075,3329.602,171.069,121.686,161.07,269.42,1140.628,394.133,550.077,465.22,191.563,2066.438
2008-11-03,527.948,1146.666,3315.609,1964.072,71.403,1787.186,3384.877,2981.562,870.754,913.299,1788.39,476.089,468.49,254.34,282.471,234.719,531.095,287.244,708.897,200.438,3349.69,179.44,134.126,165.405,270.028,1190.891,394.815,583.606,467.904,197.313,2201.483
2008-11-04,542.346,1231.768,3650.571,2053.341,72.314,1941.687,3673.565,3087.097,922.439,950.477,1965.745,514.076,508.583,265.476,284.528,235.826,545.088,312.586,764.832,199.417,3577.422,176.737,137.004,165.581,280.596,1264.692,411.965,627.654,481.976,201.796,2138.562
2008-11-05,559.548,1202.097,3524.692,2190.965,73.65,1916.904,3596.275,2977.975,906.298,900.527,1842.857,486.238,494.383,253.72,285.406,239.032,572.204,293.163,749.514,207.021,3384.779,176.909,137.334,165.284,272.578,1266.061,403.002,618.553,488.576,196.657,2194.226
2008-11-06,518.058,1140.152,3232.257,2078.009,70.46,1671.263,3287.252,2818.386,840.703,855.158,1722.354,444.383,428.526,242.909,271.635,231.529,522.544,281.736,682.752,182.357,3197.184,169.759,139.257,155.29,254.888,1224.752,376.13,595.7,480.201,188.327,2118.984
2008-11-07,500.756,1146.959,3214.235,2003.594,68.248,1719.893,3403.543,2852.347,851.788,879.871,1742.422,456.868,416.361,249.058,279.8,229.575,527.574,273.311,689.511,189.145,3231.09,166.242,139.768,156.162,247.539,1242.623,397.779,597.507,475.057,189.106,2177.962
2008-11-10,518.715,1145.811,3327.847,2082.076,70.966,1737.044,3450.945,2892.112,855.364,868.146,1779.205,465.107,411.349,264.445,278.201,232.688,550.597,275.199,692.873,191.63,3254.682,168.984,136.849,155.807,263.9,1279.527,401.942,624.989,475.228,199.323,2212.995
2008-11-11,474.373,1101.67,3132.98,2041.106,67.242,1586.48,3145.251,2773.782,810.189,848.716,1731.26,434.047,371.911,243.279,270.352,227.607,464.346,253.681,662.801,186.67,3165.604,168.136,132.217,152.28,246.412,1228.971,393.743,592.328,462.487,192.944,2083.018
